country_code,country_name,year,Central govt debt (% of GDP),Current account (% of GDP),Expense (% of GDP),Exports (% of GDP),External debt stocks (% of GNI),FDI net inflows (% of GDP),GDP (current USD),GDP growth (annual %),Imports (% of GDP),"Inflation (CPI, annual %)",Official exchange rate (LCU per USD),Real interest rate (%),Revenue excl grants (% of GDP),"Total reserves (includes gold, USD)",Unemployment (% of labor force),GDP_trillion_usd,trade_openness_pct,fiscal_balance_pct_gdp
MX,Mexico,2020,45.8373464334068,2.39690767800282,21.6980704238964,39.2353720904115,56.8349663684666,2.81338849125769,1121064767308.42,-8.35403458167995,37.6191836151901,3.39683415570006,21.4856083333333,1.64584208356017,18.6445328292561,199069188921.046,4.44,1.12106476730842,76.8545557056016,-3.0535375946403
MX,Mexico,2021,44.8609557938384,-0.346548814054211,20.8923836626833,40.5691932010194,46.8965782589805,2.70547578986932,1316569466685.95,6.0484834621255,42.5001044347701,5.68920847683753,20.2724083333333,0.386354456627097,18.3430886499068,207799490381.042,4.019,1.31656946668595,83.0692976357895,-2.5492950127765006
MX,Mexico,2022,43.9694401399305,-1.28978094141973,22.3057833165138,42.9322902133702,40.8971913213688,2.6714140927358,1466934724293.06,3.70975709163623,45.8661953733484,7.8962761916855,20.12735,1.41798509602471,19.2711611460256,201118689946.087,3.256,1.4669347242930602,88.7984855867186,-3.0346221704881984
MX,Mexico,2023,45.0297603114434,-0.700390860917119,22.4106159687135,36.0693951643755,34.0722892134803,1.70739186154278,1798317581486.88,3.35354140652768,37.509466472149,5.52796087314389,17.7587166666667,6.62929489524065,19.0449981031982,214316827085.02,2.765,1.79831758148688,73.5788616365245,-3.3656178655153006
MX,Mexico,2024,,-0.901772757867301,,36.7033688165177,32.8920519832698,2.44924957519445,1856365616165.94,1.42742769080466,37.8855391659966,4.72225588452932,18.3048583333333,6.02283547069742,,232035392464.815,2.678,1.8563656161659399,74.5889079825143,
NG,Nigeria,2018,,1.72693303668361,,,16.9165675219792,0.183821495682229,421739251509.08,1.92275734200614,,12.0951065173432,306.083688245234,6.05597715767894,,42838869124.791,5.069,0.42173925150908004,,
NG,Nigeria,2019,,-2.04801100743442,,,17.479665389895,0.344961215904222,668219992691.462,2.20842927714892,,11.3964223378116,306.920951495222,-25.7765299378193,,38335890478.7729,5.206,0.668219992691462,,
NG,Nigeria,2020,,-2.67061135743196,,,20.4924439613801,0.398484830422215,598586817819.073,-6.36889840510109,,13.2460234276597,358.810797258297,2.14785084959324,,36729565817.615,5.714,0.598586817819073,,
NG,Nigeria,2021,,-0.534215770594035,,,22.2682603874306,0.543909122152652,609147716972.859,1.10925253938163,,16.9528457221608,401.152029220779,-1.02433535391556,,40476363167.0316,5.404,0.609147716972859,,
NG,Nigeria,2022,,0.157446238586316,,,22.1867351582616,-0.0288727652154093,646950257577.814,4.31882949523192,,18.8471877843274,425.979158066857,3.96855873884367,,35563949955.4969,3.827,0.646950257577814,,
NG,Nigeria,2023,,1.31788745937756,,,29.036832236491,0.384195197914633,487387801880.597,3.32684556421316,,24.659550203114,645.194067883201,2.87664578502372,,32034797236.9329,3.074,0.487387801880597,,
